,coef,se,z,p_value,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high
followup_scheduled_7d,-0.4304671627756344,0.06881775629658905,-6.255175785162447,3.970683781773232e-10,-0.565349965116949,-0.29558436043431985,0.6502052720618946,0.5681612753333717,0.7440966397595853
discharge_summary_sent_24h,-0.23551908984051953,0.06892755805098368,-3.416907496799945,0.0006333679644741075,-0.3706171036204476,-0.10042107606059153,0.7901605788253977,0.6903082074757467,0.9044564928653606
insurance_Medicaid,-0.06533918090981719,0.10131627436149354,-0.6449031147423451,0.5189899731310694,-0.2639190786583445,0.13324071683871017,0.9367496818783705,0.7680356876204055,1.1425249902357724
insurance_Medicare,-0.044545375338354856,0.08001433269551113,-0.5567174509580568,0.5777204918813652,-0.20137346742155668,0.11228271674484695,0.9564322006742775,0.8176070249402478,1.118829127664961
age,0.01660543923764172,0.0022443572631590547,7.398750417421805,1.3744561044859438e-13,0.01220649900184997,0.021004379473433466,1.016744075854697,1.0122813023633253,1.021226524062167
admission_Urgent,0.019793633969554594,0.11992246354538505,0.16505359700239672,0.868901796205731,-0.2152543945794001,0.25484166251850926,1.019990826848091,0.806336286502982,1.2902573086054523
num_medications,0.03760023842884873,0.006936213261341112,5.420859626449656,5.9313122191539946e-08,0.024005260436620147,0.0511952164210773,1.038316071037242,1.0242957061190916,1.052528344045277
num_diagnoses,0.05292818417294789,0.015244526851710098,3.4719466656986158,0.0005166989784912701,0.023048911543596097,0.08280745680229967,1.0543539231013757,1.0233165903171972,1.0863326224533112
disposition_Home Health Care,0.06204966672989602,0.08930345990619797,0.694818171603557,0.4871692587316687,-0.11298511468625197,0.23708444814604399,1.0640151895707333,0.8931639550427649,1.2675481553473984
length_of_stay_days,0.0896158909036469,0.011085162380903733,8.084310163830079,6.661338147750939e-16,0.06788897263707558,0.11134280917021822,1.093754082116636,1.0702464752382008,1.1177780257398648
insurance_Uninsured,0.1334026565957937,0.14351644866657126,0.9295286905107671,0.35261516368620827,-0.14788958279068598,0.4146948959822734,1.1427100254370264,0.8625263474365393,1.513908770572789
prior_er_visits_1yr,0.22242651200066613,0.038568069608905194,5.767115498809121,8.063979040073832e-09,0.14683309556721197,0.2980199284341203,1.2491040221221403,1.1581606447519754,1.3471886349720026
disposition_Skilled Nursing Facility,0.2465945261576443,0.0951077184982017,2.5927919421419716,0.009520034367362262,0.06018339790116895,0.43300565441411965,1.2796601388567936,1.062031302997797,1.5418849391319542
admission_Emergency,0.2653689573656865,0.09799413602033516,2.708008541558229,0.006768828030503826,0.07330045076582958,0.4574374639655434,1.3039119749661863,1.076053789536663,1.5800199348698936
comorbidity_count,0.2734237882907411,0.04310852008680512,6.342685569816906,2.2579405012379539e-10,0.18893108892060304,0.35791648766087913,1.3144571783663193,1.2079577079451789,1.4303461639380168
disposition_Against Medical Advice,0.38581660958477526,0.18609900021337702,2.073179378408301,0.038155588796682016,0.02106256916655626,0.7505706500029943,1.470814912722412,1.0212859506492016,2.118208427435521
prior_admissions_1yr,0.44351284419201914,0.04297049285220425,10.321334821954883,0.0,0.35929067820169885,0.5277350101823395,1.5581712285348717,1.4323130832580326,1.6950885988636066
